time,open,high,low,close,Volume,Volume MA
-443525400,45.419998,45.419998,45.419998,45.419998,2510000,2474000
-443439000,45.450001,45.450001,45.450001,45.450001,2430000,2457500
-443352600,45.07,45.07,45.07,45.07,2670000,2463000
-443266200,45.060001,45.060001,45.060001,45.060001,2260000,2453000
-443179800,45.130001,45.130001,45.130001,45.130001,2310000,2453000
-442920600,45.02,45.02,45.02,45.02,2380000,2456000
-442834200,44.950001,44.950001,44.950001,44.950001,2280000,2472000
-442747800,45.84,45.84,45.84,45.84,2540000,2485500
-442661400,45.41,45.41,45.41,45.41,2650000,2490500
-442575000,45.5,45.5,45.5,45.5,2090000,2485500
-442229400,45.220001,45.220001,45.220001,45.220001,2010000,2463000
-442143000,45.049999,45.049999,45.049999,45.049999,1990000,2444000
-442056600,45.150002,45.150002,45.150002,45.150002,2190000,2408500
-441970200,45.48,45.48,45.48,45.48,2820000,2431000
-441624600,45.16,45.16,45.16,45.16,2390000,2430500
-441538200,45,45,45,45,2290000,2423000
-441451800,44.950001,44.950001,44.950001,44.950001,2110000,2401500
-441365400,45.139999,45.139999,45.139999,45.139999,2570000,2406000
-441106200,44.509998,44.509998,44.509998,44.509998,2700000,2392500
-441019800,44.16,44.16,44.16,44.16,2640000,2391500
-440933400,44.380001,44.380001,44.380001,44.380001,2310000,2381500
-440847000,44.75,44.75,44.75,44.75,2330000,2376500
-440760600,44.669998,44.669998,44.669998,44.669998,2120000,2349000
-440501400,44.139999,44.139999,44.139999,44.139999,2260000,2349000
-440415000,44.470001,44.470001,44.470001,44.470001,2050000,2336000
-440328600,44.169998,44.169998,44.169998,44.169998,2110000,2322500
-440242200,43.720001,43.720001,43.720001,43.720001,2500000,2333500
-440155800,43.220001,43.220001,43.220001,43.220001,2430000,2328000
-439896600,43.110001,43.110001,43.110001,43.110001,2720000,2331500
-439810200,43.650002,43.650002,43.650002,43.650002,2160000,2335000
-439723800,43.720001,43.720001,43.720001,43.720001,1950000,2332000
-439637400,43.459999,43.459999,43.459999,43.459999,1840000,2324500
-439551000,43.349998,43.349998,43.349998,43.349998,1950000,2312500
-439291800,43.5,43.5,43.5,43.5,1830000,2263000
-439205400,43.82,43.82,43.82,43.82,1900000,2238500
-439119000,44.029999,44.029999,44.029999,44.029999,2010000,2224500
-439032600,44.220001,44.220001,44.220001,44.220001,1900000,2214000
-438946200,44.779999,44.779999,44.779999,44.779999,2110000,2191000
-438687000,44.810001,44.810001,44.810001,44.810001,2230000,2167500
-438600600,44.599998,44.599998,44.599998,44.599998,2060000,2138500
-438514200,44.16,44.16,44.16,44.16,2170000,2131500
-438427800,43.66,43.66,43.66,43.66,2080000,2119000
-438341400,43.639999,43.639999,43.639999,43.639999,1770000,2101500
-438082200,43.580002,43.580002,43.580002,43.580002,1420000,2059500
-437995800,43.419998,43.419998,43.419998,43.419998,1590000,2036500
-437909400,44.040001,44.040001,44.040001,44.040001,3000000,2081000
-437823000,43.82,43.82,43.82,43.82,1750000,2043500
-437736600,44.52,44.52,44.52,44.52,2840000,2064000
-437477400,44.450001,44.450001,44.450001,44.450001,2530000,2054500
-437391000,44.560001,44.560001,44.560001,44.560001,2240000,2058500
-437218200,44.950001,44.950001,44.950001,44.950001,2900000,2106000
-437131800,45.32,45.32,45.32,45.32,2890000,2158500
-436872600,45.27,45.27,45.27,45.27,2440000,2183000
-436786200,45.43,45.43,45.43,45.43,2540000,2218500
-436699800,45.34,45.34,45.34,45.34,3900000,2318500
-436613400,45.540001,45.540001,45.540001,45.540001,2410000,2338500
-436527000,45.810001,45.810001,45.810001,45.810001,2860000,2386500
-436267800,46.060001,46.060001,46.060001,46.060001,3090000,2435500
-436181400,46.040001,46.040001,46.040001,46.040001,2770000,2462500
-436095000,46.009998,46.009998,46.009998,46.009998,2380000,2478500
-436008600,46.119999,46.119999,46.119999,46.119999,2500000,2495000
-435922200,46.700001,46.700001,46.700001,46.700001,3430000,2562500
-435663000,47.130001,47.130001,47.130001,47.130001,3110000,2629500
-435576600,47.060001,47.060001,47.060001,47.060001,2790000,2698000
-435490200,47.529999,47.529999,47.529999,47.529999,3140000,2775500
-435403800,47.990002,47.990002,47.990002,47.990002,3270000,2789000
-435317400,48.139999,48.139999,48.139999,48.139999,3120000,2857500
-435058200,48.59,48.59,48.59,48.59,2570000,2844000
-434971800,48.869999,48.869999,48.869999,48.869999,2960000,2865500
-434885400,48.23,48.23,48.23,48.23,2930000,2900000
-434799000,48.720001,48.720001,48.720001,48.720001,2650000,2887500
-434712600,48.830002,48.830002,48.830002,48.830002,2980000,2892000
-434453400,48.619999,48.619999,48.619999,48.619999,2720000,2906000
-434367000,48.25,48.25,48.25,48.25,2540000,2906000
-434280600,48.509998,48.509998,48.509998,48.509998,2610000,2841500
-434194200,48.48,48.48,48.48,48.48,3480000,2895000
-433848600,48.700001,48.700001,48.700001,48.700001,3120000,2908000
-433762200,48.529999,48.529999,48.529999,48.529999,2760000,2891500
-433675800,48.799999,48.799999,48.799999,48.799999,2760000,2891000
-433589400,48.57,48.57,48.57,48.57,2950000,2919500
-433503000,48.849998,48.849998,48.849998,48.849998,2600000,2924500
-433243800,48.610001,48.610001,48.610001,48.610001,2760000,2891000
-433157400,47.93,47.93,47.93,47.93,2590000,2865000
-433071000,48.310001,48.310001,48.310001,48.310001,2440000,2847500
-432984600,48.02,48.02,48.02,48.02,2700000,2825500
-432898200,47.950001,47.950001,47.950001,47.950001,2450000,2784500
-432639000,47.959999,47.959999,47.959999,47.959999,2310000,2744000
-432552600,47.93,47.93,47.93,47.93,2330000,2732000
-432466200,47.740002,47.740002,47.740002,47.740002,2470000,2707500
-432379800,47.57,47.57,47.57,47.57,2210000,2671500
-432293400,47.759998,47.759998,47.759998,47.759998,2320000,2655000
-432034200,47.650002,47.650002,47.650002,47.650002,2440000,2628000
-431947800,47.259998,47.259998,47.259998,47.259998,2500000,2617000
-431861400,47.09,47.09,47.09,47.09,2270000,2603500
-431775000,47.490002,47.490002,47.490002,47.490002,2630000,2604500
-431688600,47.990002,47.990002,47.990002,47.990002,2760000,2568500
-431433000,48.380001,48.380001,48.380001,48.380001,2730000,2549000
-431346600,48.16,48.16,48.16,48.16,2500000,2536000
-431260200,48.169998,48.169998,48.169998,48.169998,2440000,2520000
-431173800,48.34,48.34,48.34,48.34,2640000,2504500
-431087400,48.509998,48.509998,48.509998,48.509998,2860000,2517500
-430828200,48.220001,48.220001,48.220001,48.220001,2550000,2507000
-430741800,48.02,48.02,48.02,48.02,2440000,2499500
-430655400,47.939999,47.939999,47.939999,47.939999,2550000,2505000
-430569000,47.16,47.16,47.16,47.16,2850000,2512500
-430482600,47.119999,47.119999,47.119999,47.119999,2450000,2512500
-430223400,46.860001,46.860001,46.860001,46.860001,2440000,2519000
-430137000,46.369999,46.369999,46.369999,46.369999,2650000,2535000
-430050600,46.049999,46.049999,46.049999,46.049999,2080000,2515500
-429964200,46.610001,46.610001,46.610001,46.610001,1970000,2503500
-429877800,46.389999,46.389999,46.389999,46.389999,2020000,2488500
-429618600,45.990002,45.990002,45.990002,45.990002,1940000,2463500
-429532200,45.259998,45.259998,45.259998,45.259998,2290000,2453000
-429445800,45.02,45.02,45.02,45.02,2140000,2446500
-429359400,44.599998,44.599998,44.599998,44.599998,2600000,2445000
